feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,label
-0.11731,0.36171,-0.42394,0.41797,0.00729,0.32053,-0.35527,-0.69855,-0.7037,-1.12498,-0.72876,-0.41082,0.32971,-0.53478,-1.19221,-1.48234,1.0
-0.11699,1.47804,-0.42394,0.03438,-0.30644,0.76382,-0.35527,0.67461,-0.7037,-1.12498,0.18795,-0.41082,0.07959,-0.97822,0.04146,-1.48234,1.0
-0.11643,0.21682,2.48387,0.82419,0.83752,-0.02712,-0.35527,-0.96891,-0.7037,-1.12498,-0.42439,2.09883,0.32971,-1.17503,2.50881,-1.48234,1.0
-0.09377,-1.0401,-0.41988,1.56508,1.46655,-0.86339,0.39916,-1.11948,-0.4256,-0.45335,-0.31439,-0.41082,0.31552,-0.53739,-0.50894,0.52778,1.0
-0.11548,-0.99767,-0.42394,0.17794,1.0345,0.06746,-0.35527,-0.24075,-0.7037,0.52484,1.09406,-0.41082,0.32971,0.11763,-1.19221,0.77905,1.0
-0.11772,1.13631,-0.42394,0.49469,-0.10855,0.00977,-0.35527,-0.91408,-0.7037,-1.12498,0.08943,-0.41082,0.32971,-0.18652,-1.19221,-1.48234,2.0
-0.11545,-0.5211,-0.42394,0.70454,-0.20192,0.39365,-0.35527,-0.06059,-0.7037,-1.12498,0.31912,-0.41082,0.32971,0.03198,-0.70947,-1.48234,2.0
-0.11065,0.49503,-0.42394,-0.10106,0.15401,0.44633,-0.35527,0.34536,1.24718,-0.28366,-0.30725,-0.41082,0.32971,-0.49598,-0.26695,-1.48234,2.0
-0.11364,-0.85294,-0.40343,1.92621,1.56455,-0.54152,-0.35527,-1.31581,-0.7037,-0.90393,-0.09938,-0.36407,0.32971,-0.21286,-0.83405,0.52778,2.0
-0.11051,-0.30453,-0.42394,1.01722,0.32189,-1.90854,1.97219,-1.32003,-0.7037,-0.64862,0.9219,-0.41082,0.28274,0.7756,-0.72958,0.02525,2.0
-0.11309,0.86121,-0.42394,-1.4831,-0.84102,1.068,-0.35527,0.57911,-0.7037,-0.3734,1.13517,-0.41082,0.32971,4.74021,0.11403,-1.48234,2.0
-0.09685,-0.66304,-0.39612,0.21557,0.88011,-0.16018,-0.34313,-0.86617,-0.03567,-0.14549,-0.34359,-0.37426,0.32971,0.65487,0.16537,-0.72854,2.0
-0.11226,0.25226,-0.42394,0.33458,0.02972,0.50631,-0.35527,0.2517,-0.7037,-0.92366,0.00552,-0.41082,0.27015,1.19864,0.06474,1.53284,2.0
-0.10014,-1.2565,-0.42394,1.79814,1.79645,-0.91905,0.70352,-0.97609,-0.7037,-0.52103,-0.38155,-0.41082,0.32971,-0.62382,-0.56844,0.98463,2.0
-0.07522,-0.75269,2.15309,0.84146,1.108,0.07951,-0.12438,-0.35934,-0.35453,-0.70334,-0.03034,2.00307,0.3208,-0.14048,0.45778,0.67136,2.0
-0.11258,-0.04333,-0.42394,0.20832,-0.76044,0.78548,-0.35527,0.83636,0.63007,-0.66483,-0.55619,-0.41082,0.32971,-0.44651,0.19567,1.53284,2.0
-0.10515,-0.156,-0.42394,-0.67017,-0.61337,0.63287,-0.35527,0.57554,-0.0929,-0.07136,-0.67599,-0.41082,0.26737,-0.44392,0.43263,1.53284,2.0
-0.03824,-0.42313,-0.42144,1.09945,1.10163,-0.76178,0.23807,-1.08454,-0.09182,-0.19011,-0.40753,-0.40763,0.30294,-0.14121,-0.82133,-0.21791,2.0
-0.04451,-0.91446,-0.42394,1.14844,1.32857,-0.28825,-0.35527,-0.92867,-0.52071,-0.38322,-0.31568,-0.41082,0.30636,-0.86839,-0.59103,1.13956,2.0
-0.07906,-0.31907,-0.4163,-0.18303,0.16868,0.3259,-0.35527,-0.04577,0.08291,-0.34475,-0.35845,-0.40364,0.32971,-0.31842,0.39977,0.46866,2.0
-0.08575,-1.79747,0.04233,0.74211,1.1654,-0.85842,-0.35527,-1.7598,-0.50744,-0.10933,-0.25528,-0.00272,0.29966,1.14036,-0.6932,0.71052,2.0
-0.10193,0.44066,-0.42394,-0.16253,0.03306,0.32124,-0.35527,0.10097,0.21035,-0.10009,0.02936,-0.41082,0.23642,0.19094,-0.02347,-0.62086,2.0
-0.10429,-0.16293,-0.42394,-0.21048,0.19131,0.53399,-0.35527,0.2608,-0.7037,-0.56129,-0.16359,-0.41082,0.30192,-0.54669,-0.09561,0.52778,2.0
-0.10792,-0.78911,-0.42394,2.38393,2.73041,-1.68565,1.10635,-1.71925,0.62556,-0.20779,-0.25184,-0.41082,0.32971,0.1806,-1.03359,0.52778,2.0
-0.10956,-0.50447,-0.11055,1.04908,1.81957,-0.35795,0.20129,-0.59776,-0.7037,-0.7142,-0.30369,-0.12124,0.2487,-0.07625,0.0695,1.53284,2.0
-0.10723,-0.4342,-0.42394,2.70078,2.48891,-1.33547,1.41377,-0.77232,-0.08323,-0.91092,-0.69805,-0.41082,0.32971,-0.3649,-0.75679,1.53284,2.0
-0.09448,-0.78063,-0.42394,-0.0767,0.50209,0.00036,-0.35527,-0.61526,0.53917,-0.42819,-0.52053,-0.41082,0.26629,-0.16462,0.27014,0.02525,2.0
-0.06385,-0.39805,-0.26211,1.15028,1.19766,-0.72457,0.3378,-0.85497,-0.04927,-0.22187,-0.31635,-0.22938,0.20949,-0.22532,-0.39756,0.63644,2.0
-0.11508,0.83054,-0.10427,0.57949,0.53359,-0.2233,-0.35527,-0.28238,5.55366,0.67402,0.6805,-0.18255,0.22327,-0.00481,-0.18284,-1.48234,2.0
-0.11534,-0.70841,0.42393,1.0848,1.72457,-0.15371,-0.35527,-1.14424,-0.7037,-0.73171,0.19624,0.67037,0.32971,-0.69308,-0.49827,-1.48234,2.0
-0.0068,-0.72957,2.40522,-0.04807,0.64696,0.08247,-0.03016,-0.23667,-0.34617,-0.39724,-0.4377,2.19507,0.29322,0.02896,0.45401,-0.17139,2.0
-0.11664,0.93181,0.63622,0.9458,1.3263,0.16266,-0.35527,-0.49337,-0.7037,-1.12498,0.60492,0.55202,0.32971,-1.09153,1.0284,1.53284,2.0
-0.11538,0.55536,-0.42394,-0.36396,-0.61742,-0.06195,-0.35527,-0.79152,-0.7037,-0.32919,-0.82642,-0.41082,0.32971,-1.16097,-1.19221,-1.48234,2.0
-0.11208,-0.18105,-0.42394,0.32613,0.38739,0.39712,-0.35527,0.00844,-0.7037,-0.51375,-0.30917,-0.41082,0.26944,-1.2396,0.76715,-1.48234,2.0
-0.11381,0.95755,-0.42394,-0.84198,-0.40316,0.62382,-0.35527,0.43838,-0.7037,-0.23495,-0.49729,-0.41082,0.32971,-0.91923,-0.0026,-1.48234,2.0
-0.08385,-0.53611,2.86151,-0.14964,0.59881,-0.05898,0.49472,0.08617,-0.19967,-0.1686,0.0127,2.6506,0.27827,0.3904,0.27979,0.02525,2.0
0.09373,-0.67745,1.60892,-0.24249,0.22102,0.17768,-0.00802,0.0103,-0.24263,-0.25675,0.0882,1.5907,0.28657,0.41787,0.58362,0.81494,2.0
-0.10669,0.61561,-0.42394,0.57279,0.25948,0.05334,-0.35527,-0.59196,1.23114,-0.23495,-0.62782,-0.41082,0.26389,-0.39867,-0.18284,0.52778,2.0
-0.11314,0.11476,-0.40533,0.05766,-0.02328,0.21272,-0.35527,-0.02114,0.69677,-0.40024,-0.41407,-0.35973,0.18678,0.06224,0.61526,1.53284,2.0
0.395,-0.56676,0.83963,0.13211,0.3049,-0.43053,-0.00617,-0.83023,0.19196,-0.01894,-0.0979,0.74159,0.19985,0.16784,-0.20643,0.15535,2.0
0.06258,-0.12696,-0.21346,0.13907,0.19108,-1.27132,1.55312,-0.63284,-0.1757,-0.16104,-0.30342,-0.25351,0.06477,-0.03495,-0.36242,0.2137,2.0
-0.11154,0.99769,1.9045,0.44327,1.39989,-0.91038,1.26224,-0.56683,-0.7037,-1.12498,0.40201,1.56925,0.32971,-0.06226,-0.6506,-1.48234,2.0
0.23633,-0.42029,0.37313,0.08011,0.19198,-0.82309,0.77233,-0.56726,0.19679,0.19347,-0.38344,0.34473,0.27255,-0.24673,-0.18423,0.40215,2.0
-0.11501,0.48804,-0.42394,-0.27677,0.11761,0.84802,-0.35527,0.72125,-0.7037,-1.12498,-0.06004,-0.41082,0.32971,-0.72135,2.22411,1.53284,2.0
-0.11124,0.19665,-0.42394,-0.22831,-0.35126,0.06888,-0.35527,-0.23176,5.02917,0.25952,-0.62152,-0.41082,0.2712,-0.44167,0.59861,1.53284,2.0
-0.0129,-0.97059,2.33728,0.13469,0.63285,0.04045,0.15308,-0.0773,-0.08519,-0.44482,0.16706,2.15855,0.09695,0.44581,0.75783,0.04996,3.0
-0.08789,0.71851,-0.38456,-0.87358,-1.03155,0.44682,-0.35527,0.39963,0.08372,0.50496,-0.47344,-0.37252,0.26274,0.59637,-0.2937,0.37316,3.0
-0.09444,-0.39288,-0.3238,-0.17432,0.07679,-0.3686,-0.00582,-0.49302,1.82208,0.78121,-0.53975,-0.30716,0.23304,0.37456,-0.45508,1.53284,3.0
-0.09434,0.18143,-0.38653,-0.69593,-0.54425,0.4531,-0.35527,0.35408,1.29357,-0.09139,-0.45716,-0.3501,0.29573,-0.4104,0.2882,0.67136,3.0
-0.11538,0.55536,-0.42394,-0.24446,-0.4478,0.84568,-0.35527,0.89368,2.1796,-0.13024,-0.39682,-0.41082,0.32971,-1.35603,3.74248,-1.48234,3.0
-0.08835,2.59787,1.90798,-0.31241,0.36443,-1.67551,2.45211,-0.37035,-0.40707,-0.10164,0.08793,1.6343,0.17835,0.37712,0.18746,-0.14226,3.0
1.24317,0.04737,-0.02837,-0.78626,-0.65244,0.31814,-0.18688,0.13066,-0.00489,-0.08333,0.18818,0.00688,-1.97566,0.90781,-0.05653,0.59894,3.0
-0.10637,-0.18785,2.16201,-0.7043,-0.37995,0.96413,-0.35527,1.16557,0.02517,-0.24487,0.15196,1.95562,0.29251,-0.31348,1.25423,1.53284,3.0
-0.11664,-0.07206,-0.42394,0.24981,1.92693,-0.1394,-0.35527,-0.85512,-0.7037,-0.48684,0.69945,-0.41082,0.32971,0.02015,0.39394,1.53284,3.0
0.20147,-1.29,3.05753,0.0501,0.36582,-1.5581,-0.12575,-2.24297,-0.30475,1.08412,0.22457,2.80704,0.27576,0.77041,-0.74918,0.0962,3.0
-0.10407,0.70349,-0.41699,-0.51118,-0.83592,0.21031,-0.35527,-0.23606,0.9393,-0.3692,0.13375,-0.39084,0.21792,1.08125,0.04146,-0.47728,3.0
0.13092,-0.91937,3.4348,-0.06305,0.57991,-0.30385,0.22935,-0.43725,0.12371,0.11566,-0.03112,3.35756,0.2615,0.44364,0.09619,0.04918,3.0
-0.10374,-0.42599,-0.38996,-0.07397,-0.44125,0.75129,-0.35527,0.65269,-0.7037,-1.03574,0.13391,-0.37307,0.25051,-0.03554,0.2882,-1.48234,3.0
-0.11668,2.46823,-0.42394,0.59012,0.46942,0.54412,-0.35527,0.82887,-0.7037,0.17584,-1.04345,-0.41082,0.32971,-0.98446,-1.19221,-1.48234,3.0
-0.10811,-0.83739,-0.4143,-0.08321,-0.16297,0.2805,-0.35527,-0.06312,0.01449,-0.13388,-0.67779,-0.41082,0.32971,0.1677,-0.66349,-1.48234,3.0
-0.11519,0.91024,-0.42394,1.11226,1.44947,-0.57449,-0.35527,-1.26468,-0.7037,-0.47457,1.76324,-0.41082,0.23351,0.79978,-0.72958,1.03031,3.0
-0.11009,0.86513,-0.42394,-1.05524,-0.65781,1.15127,-0.35527,1.34307,0.55313,-0.25777,-0.42161,-0.41082,-2.68454,1.43296,3.14069,0.52778,3.0
-0.10072,-0.62039,-0.42394,0.37667,0.48392,0.38419,-0.35527,0.16307,-0.28743,-0.47871,-0.58572,-0.41082,0.30847,-1.17553,-0.50365,-0.72854,3.0
-0.07963,-1.299,2.89552,0.75125,1.42599,-0.63006,0.44312,-0.85661,-0.31737,-0.35859,-0.31394,2.70387,0.31985,0.12556,-0.12632,0.62829,3.0
0.52365,-0.09315,-0.189,-0.24634,-0.28752,-0.43588,-0.01749,-0.62295,0.26035,0.55561,-0.46709,-0.18905,0.12078,0.24879,-0.4637,-0.05799,3.0
-0.08962,-0.39154,-0.41351,0.42909,0.56322,-0.57676,0.20001,-0.79582,0.29662,0.08292,-0.09072,-0.41082,0.18933,0.65082,-0.31355,-0.19012,3.0
0.06821,-0.41112,0.19115,0.26439,0.27111,-0.06541,-0.15933,-0.26972,-0.31957,0.00814,-0.64654,0.18055,0.29246,-0.12046,-0.74178,-0.02859,3.0
-0.11191,0.66304,-0.42394,-0.38748,-0.51815,1.12552,0.00187,1.62956,-0.7037,-1.12498,0.53,-0.41082,0.07959,-1.39508,3.43406,-0.19012,3.0
-0.10734,-0.59236,-0.42394,-0.48768,-0.49577,0.61234,-0.16729,0.58062,-0.7037,-0.3229,-0.48192,-0.41082,0.29016,-0.13991,0.10555,0.02525,3.0
-0.10142,-0.41803,0.98584,-0.24107,-0.49481,0.71394,-0.20154,0.79325,-0.7037,-0.44172,0.35743,0.92576,0.17812,-0.607,1.519,-0.66002,3.0
-0.10959,-0.50807,-0.42394,0.46973,-0.23994,-0.23752,-0.35527,-0.49337,-0.7037,0.69617,-0.27618,-0.41082,0.32971,-0.5884,-0.84524,0.77905,3.0
-0.08827,-0.37287,-0.42394,-0.15468,0.61235,0.00603,0.55788,0.60498,-0.7037,-0.36142,-0.49993,-0.41082,0.28985,0.17103,-0.40574,-0.72854,3.0
-0.11686,0.97929,-0.42394,-0.0216,0.14274,0.96724,-0.35527,1.12099,-0.7037,-1.12498,-0.23998,-0.41082,0.32971,-0.84705,0.19567,-1.48234,3.0
-0.01495,-0.14801,0.448,0.15034,0.04808,-0.04194,-0.35527,-0.28565,0.88387,0.85425,0.2127,0.32365,0.0204,1.03144,0.25095,-0.08726,3.0
-0.08821,0.80658,0.66712,0.63776,0.65553,-1.09889,1.05946,-0.71207,0.29029,-0.05333,0.93361,0.3144,0.27899,1.38052,-0.34957,-0.14226,3.0
-0.09852,0.66239,-0.40887,-0.11481,-0.04329,-0.12947,-0.31583,-0.60999,1.14248,0.0852,-0.21617,-0.38388,0.27318,0.76288,-0.0819,0.52778,3.0
0.11884,-0.80585,5.31305,-0.85196,-0.47068,0.44809,-0.25768,0.16459,0.1395,0.66894,0.03994,5.45854,-0.96929,2.77171,1.68811,0.42198,3.0
-0.10908,0.7316,-0.42394,-0.76026,-0.71215,0.62181,-0.35527,0.76841,1.03139,-0.22707,-0.347,-0.41082,0.10836,0.47657,1.58355,-1.48234,3.0
-0.09951,0.58038,-0.41866,-1.02609,-1.15772,1.13163,-0.35527,1.48999,-0.21718,-0.53751,-0.492,-0.41082,0.30488,-1.24735,0.54264,0.32677,3.0
-0.11561,-0.33863,0.02237,0.7964,1.31495,0.50489,-0.35527,0.24488,-0.7037,-1.12498,1.27219,0.12562,0.32971,0.04722,-1.19221,-1.48234,3.0
0.00605,2.25827,0.06693,-0.17738,0.21901,-1.524,2.41485,-0.13068,0.15185,-0.20258,-0.78306,-0.39781,0.23512,-0.46054,-0.60319,-0.22601,3.0
-0.09755,0.40792,-0.40478,-0.62613,-0.62763,0.73678,-0.06688,0.97222,0.72396,0.02429,-0.69052,-0.39346,-2.51145,0.09526,2.15392,1.1021,3.0
-0.10031,-0.26744,-0.41291,0.28102,0.36811,0.43865,-0.35527,0.35333,-0.3068,-0.44034,-0.87453,-0.39634,0.22844,-0.94081,-0.33813,0.52778,3.0
-0.1161,1.8219,0.31685,-0.18434,-0.4753,1.0926,-0.13985,1.82055,-0.7037,-1.12498,-0.35934,0.25973,0.32971,-0.5456,-0.39913,-1.48234,3.0
-0.09406,-0.93248,-0.26374,1.52275,1.95152,-1.60568,1.38638,-1.14008,0.1703,-0.06963,0.94872,-0.21952,0.25538,0.68102,-0.548,0.8628,3.0
-0.10612,0.40196,-0.42394,-0.6392,-0.73447,0.76653,-0.35527,1.06493,0.56533,-0.3588,-0.49658,-0.41082,0.23257,-0.47866,0.62053,-0.72854,4.0
0.38024,0.31189,-0.33944,-0.54323,-0.25761,-0.07621,-0.18954,-0.29373,0.49519,0.63555,-0.18618,-0.32503,-0.33382,0.70849,-0.21755,-0.17455,4.0
-0.10913,0.60596,-0.41326,-0.41331,-0.94514,0.57515,-0.35527,0.52199,1.12868,0.45545,-0.78597,-0.41082,0.28296,-0.88531,0.22091,0.02525,4.0
-0.03737,-0.4039,-0.20956,1.96321,0.69765,-0.23938,-0.35527,-0.36998,0.33877,0.23064,0.80681,-0.22652,0.16603,0.98044,-0.53409,0.16513,4.0
-0.10234,0.01144,-0.42394,0.33917,0.02911,0.21117,-0.35527,-0.20091,-0.7037,-0.17672,0.03158,-0.41082,0.21283,0.65958,0.06771,1.53284,4.0
-0.08909,0.426,-0.42053,-0.85183,-0.62887,1.1088,-0.35527,1.47336,-0.41913,-0.73228,-0.4047,-0.40044,0.1845,-0.76132,0.1045,0.19276,4.0
0.29605,-0.35671,0.10497,0.25525,-0.05385,-0.15248,-0.20033,-0.44798,-0.18699,-0.26529,-0.35105,0.10177,0.26166,0.26245,-0.64819,-0.5364,4.0
-0.02304,-0.43948,-0.41552,0.14798,0.45067,0.4539,-0.22296,0.39661,-0.1229,-0.4809,-0.67857,-0.40174,0.32124,-0.91895,-0.5806,0.98463,4.0
0.07328,-0.01317,-0.26453,-1.03672,-0.98001,-5.92355,4.85972,-3.32727,0.05227,7.79839,-0.55059,-0.32414,0.15336,1.55757,-0.42665,0.5906,4.0
1.4119,-0.18742,-0.37577,-0.58539,-0.5926,-0.82125,0.36047,-0.8098,0.02556,1.14365,-0.63964,-0.3675,0.28621,0.59444,-0.70805,-0.56468,4.0
-0.03496,0.32176,-0.39987,-0.91742,-0.91915,0.70398,-0.35527,0.75897,0.61081,0.06112,-0.66937,-0.37762,0.14396,-0.64974,0.04621,0.52778,4.0
0.0057,-0.31095,0.06993,-1.26252,-0.84078,0.59483,-0.22813,0.76332,0.15885,0.07679,-0.50708,0.06117,0.06562,-0.19185,-0.43467,-1.07118,4.0
-0.00206,-0.26847,-0.316,-0.70719,-0.78536,0.5736,-0.35527,0.52892,-0.4415,-0.33344,-0.50474,-0.28408,0.31633,-0.09749,-0.53203,-0.47728,4.0
-0.08851,0.15886,-0.367,-0.13317,-0.59567,0.22634,-0.35527,0.00057,0.8565,0.48983,-0.69379,-0.38236,0.30317,-0.39849,-0.6506,-1.48234,4.0
-0.10817,-0.61589,-0.35603,1.27479,1.31684,-0.70548,0.12714,-0.92816,-0.04131,0.24615,1.85287,-0.38665,0.29591,-0.28369,-0.94547,1.25873,4.0
-0.099,-0.23684,-0.33642,0.35789,0.90919,-0.14996,0.87088,0.54907,-0.2631,-0.59296,-0.95934,-0.33045,0.28474,-1.14588,-0.53909,1.53284,4.0
-0.03212,-1.14462,-0.41463,-0.09624,0.65725,-0.49559,-0.35527,-1.11927,0.31462,0.21274,-0.64948,-0.39939,0.22578,0.90388,-0.92901,-0.19012,4.0
-0.10134,-0.09532,-0.3947,-1.66405,-1.60584,1.1745,-0.35527,1.57306,-0.7037,-0.50522,-0.66392,-0.37337,0.0678,-1.31981,1.27514,0.1623,4.0
-0.08973,0.62147,-0.38554,0.11733,-0.33328,0.51496,-0.35527,0.6028,0.05625,-0.20735,-0.02107,-0.38309,0.278,0.00229,0.06614,0.12576,4.0
-0.03283,0.0664,-0.38522,0.25231,0.19515,0.13559,-0.0942,0.06522,0.51876,0.28627,-0.6155,-0.37994,0.0418,0.61813,0.66177,-0.47728,4.0
-0.03658,-0.37142,3.1253,-1.25434,-0.92232,0.67613,-0.336,0.57181,0.06821,0.35874,-0.53599,3.33036,0.22842,-0.18699,0.37847,0.8628,4.0
-0.11271,2.76114,-0.40669,-1.16314,-1.28872,0.85829,-0.35527,0.53379,0.95787,-0.55174,0.14538,-0.41082,0.32971,0.93014,0.49739,-1.48234,4.0
-0.08341,0.46046,-0.318,-1.32805,-1.43173,1.01497,-0.35527,1.37938,0.29029,-0.18193,-0.19411,-0.3111,0.19022,-0.39103,0.0521,0.96749,4.0
-0.11321,-0.02559,-0.42394,-0.79772,-1.27168,0.65519,-0.35527,0.64856,-0.7037,-0.10009,1.19394,-0.41082,0.32971,-1.06825,-1.19221,-1.48234,4.0
-0.0514,0.31776,-0.40447,-1.30081,-1.42897,0.80441,-0.28862,1.11146,0.33574,0.19739,-0.67087,-0.38712,0.25678,-0.40446,-0.34537,0.2137,4.0
-0.05334,-3.72119,-0.24036,6.48199,5.60812,-3.11309,-0.02419,-3.58988,-0.7037,-0.69203,0.15719,-0.32464,0.15266,3.50678,-0.87797,0.58068,4.0
0.28931,0.79941,1.09974,-0.69175,-0.60193,-0.24126,-0.02414,-0.22654,1.06398,1.48503,0.234,1.166,-2.46651,2.72381,0.82511,-1.04912,4.0
-0.08381,-0.8706,-0.3139,7.20821,1.17776,-0.19396,-0.35527,0.10278,-0.23503,-0.4243,0.76318,-0.34813,0.25796,1.81594,-0.95084,0.02525,4.0
